product_name,category,price,quantity_in_stock,quantity_sold,brand,rating,num_of_ratings,date_added,color
"OLED CX (50"", White frame)",TVs,1199.0,247,370.0,LG,9.2 out of 10,282,7.6.2025,white
"MacBook Pro 14 (2023) (512GB, White)",Laptops,1999.0,out of stock,1.0,Apple,9.7 out of 10,1,10.5.2020,white
UNO Card Game (Red),Toys,9.99,0,543.0,Mattel,8.75 out of 10,427,10.24.2025,red
Hot and Cold Brewed System (Black),Kitchen,169.99,380,834.0,Ninja,9.25 out of 10,683,12.6.2021,black
Huntsman V2 Analog (Yellow),Keyboards,249.99,0,726.0,Razer,8.75 out of 10,579,8.7.2022,yellow
Juice Fountain Elite (White),Kitchen,299.95,304,802.0,Breville,no value,678,11.24.2022,white
"Elite Active 75t (Wireless, Blue)",Headphones,149.99,0,917.0,Jabra,no value,743,10.6.2023,blue
"EliteBook 840 G6 (64GB, Red)",Laptops,1200.0,0,942.0,HP,8.5 out of 10,758,1.31.2022,red
"AirPods Pro (1st generation) (Wired, Gray)",Headphones,199.0,473,482.0,Apple,8.5 out of 10,378,4.7.2024,red
"Momentum 3 Wireless (Wired, Orange)",Headphones,399.95,8,520.0,Sennheiser,8.75 out of 10,401,10.5.2025,red
Creator Ford Mustang (10265) (Red),Toys,169.99,0,820.0,LEGO,9.45 out of 10,663,5.9.2025,red
"AirPods (2nd generation) (Wired, Orange)",Headphones,99.0,432,593.0,Apple,8.5 out of 10,467,4.23.2022,red
MX Master 3 (Orange),Mice,99.99,457,432.0,Logitech,9.3 out of 10,344,6.3.2021,orange
K380 (Green),Keyboards,39.99,438,234.0,Logitech,8.75 out of 10,182,6.17.2020,green
Genesis (Gray),Gaming Consoles,60.0,334,159.0,Sega,no value,123,3.9.2025,gray
"P30 (64GB, Gray)",Smartphones,300.0,0,727.0,Huawei,8.1 out of 10,580,2.24.2022,gray
"Sherpa Trucker Jacket (Yellow, L)",Clothing,98.0,138,97.0,Levi's,8.5 out of 10,76,6.22.2020,yellow
"IdeaPad 5 (128GB, Green)",Laptops,650.0,297,780.0,Lenovo,8.5 out of 10,611,3.12.2024,green
"50PUS7506 (43"", Purple frame)",TVs,480.0,338,912.0,Philips,7.8 out of 10,740,5.10.2020,purple
"MatePad Pro 12.6 (1TB, Yellow)",Tablets,1099.0,190,325.0,Huawei,8.3 out of 10,264,8.14.2025,yellow
"11T (1TB, Yellow)",Smartphones,599.0,out of stock,22.0,Xiaomi,8.2 out of 10,15,12.12.2024,yellow
"Pavilion 14 (1TB, Purple)",Laptops,649.99,0,635.0,HP,8.25 out of 10,507,5.11.2020,purple
Watch SE (Green),Watches,279.0,22,34.0,Apple,8.75 out of 10,28,4.5.2021,green
Nomad (Orange),Gaming Consoles,299.99,130,364.0,Sega,8.5 out of 10,282,2.10.2020,orange
"Mi 9 (256GB, Red)",Smartphones,350.0,0,516.0,Xiaomi,8.2 out of 10,417,7.12.2025,red
Paw Patrol Mighty Lookout Tower (Green),Toys,119.99,175,216.0,Spin Master,8.45 out of 10,171,4.16.2023,green
"iPad Pro 11 (2020) (256GB, Brown)",Tablets,849.0,0,405.0,Apple,9.3 out of 10,325,9.9.2023,brown
"MatePad 11 (512GB, Blue)",Tablets,699.0,196,739.0,Huawei,8.4 out of 10,605,6.6.2023,blue
K68 RGB (Green),Keyboards,119.99,0,840.0,Corsair,8.75 out of 10,686,12.4.2020,green
"Yeezy Boost 350 V2 (Yellow, EU 38)",Shoes,220.0,0,805.0,Adidas,8.65 out of 10,660,4.16.2020,yellow
Orchard Hills TV Stand (Brown),Furniture,200.0,243,272.0,Sauder,8.25 out of 10,211,5.24.2024,brown
Scrabble (White),Toys,20.0,116,837.0,Mattel,8.75 out of 10,668,1.20.2022,white
"Chromebook Flip C434 (64GB, Brown)",Laptops,529.0,0,257.0,Asus,8.5 out of 10,204,12.5.2023,brown
"Redmi Note 10 (1TB, Green)",Smartphones,300.0,148,211.0,Xiaomi,8.5 out of 10,165,2.1.2024,red
Bakugan Battle Arena (White),Toys,29.99,0,832.0,Spin Master,8.25 out of 10,654,10.30.2023,white
Alenya Sofa (Brown),Furniture,450.0,0,641.0,Ashley Furniture,8.25 out of 10,521,8.6.2020,brown
"Ultraboost 21 (Red, EU 46)",Shoes,180.0,230,183.0,Adidas,8.75 out of 10,160,6.11.2024,red
"AirPods (2nd generation) (Wireless, Black)",Headphones,129.0,0,664.0,Apple,8.5 out of 10,539,4.12.2020,black
Polly Pocket (Red),Toys,12.99,0,79.0,Mattel,,62,6.13.2021,red
"Condivo 20 Training Top (Blue, S)",Clothing,60.0,389,394.0,Adidas,8.7 out of 10,321,6.18.2023,blue
2600 (Brown),Gaming Consoles,199.99,136,673.0,Atari,8.5 out of 10,546,9.28.2021,brown
"iPad Air (2019) (512GB, Brown)",Tablets,649.0,239,94.0,Apple,9.2 out of 10,73,1.9.2023,brown
Cardinal Games Chess (Orange),Toys,20.0,314,364.0,Spin Master,8.5 out of 10,290,7.2.2023,orange
Strandmon Wing Chair (Purple),Furniture,279.0,0,995.0,IKEA,8.75 out of 10,787,7.21.2023,purple
Little People School Bus (Gray),Toys,24.99,0,707.0,Fisher-Price,8.75 out of 10,567,5.23.2022,gray
Watch Ultra (Red),Watches,799.0,445,218.0,Apple,8.75 out of 10,174,2.28.2021,red
Ebern Designs Convertible Sofa (Green),Furniture,450.0,445,143.0,Wayfair,7.85 out of 10,115,11.1.2023,green
"iPad (2017) (64GB, White)",Tablets,299.0,438,43.0,Apple,8.5 out of 10,35,5.9.2022,white
Classic Hand Mixer (Red),Kitchen,59.99,47,859.0,KitchenAid,9.2 out of 10,664,2.6.2021,red
"Spectre x360 15 (512GB, Blue)",Laptops,1300.0,409,287.0,HP,8.5 out of 10,228,10.5.2024,blue
PlayStation 2 (White),Gaming Consoles,150.0,0,691.0,Sony,8.75 out of 10,548,7.19.2022,white
"7T (512GB, White)",Smartphones,499.0,389,588.0,OnePlus,8.75 out of 10,481,10.9.2023,white
"512 Slim Taper Jeans (Yellow, S)",Clothing,69.5,45,642.0,Levi's,8.75 out of 10,509,10.20.2025,yellow
"G5 15 (1TB, White)",Laptops,1199.0,499,917.0,Dell,8.2 out of 10,729,9.22.2023,white
Rival 110 (Gray),Mice,40.0,282,334.0,SteelSeries,8.75 out of 10,278,7.19.2024,gray
"UHD UN7300 (75"", Orange frame)",TVs,1200.0,223,692.0,LG,8.4 out of 10,570,9.27.2022,orange
N64 (Orange),Gaming Consoles,150.0,183,220.0,Nintendo,8.5 out of 10,182,9.17.2023,orange
"Pump Omni Lite (Red, EU 40)",Shoes,150.0,0,907.0,Reebok,8.5 out of 10,722,4.30.2025,red
Caper Chair (Gray),Furniture,495.0,84,669.0,Herman Miller,,536,1.30.2024,gray
"HD 599 (Wireless, Gray)",Headphones,199.95,0,310.0,Sennheiser,8.5 out of 10,239,3.15.2025,gray
"Tab P11 Pro (128GB, Brown)",Tablets,499.0,320,50.0,Lenovo,8.5 out of 10,44,6.6.2020,brown
XXL Grill (Brown),Kitchen,299.99,365,562.0,Philips,8.75 out of 10,462,5.15.2022,brown
Sand & Stable Bar Stool (Purple),Furniture,150.0,300,970.0,Wayfair,8.5 out of 10,771,10.24.2024,purple
"iPhone 7 (256GB, Black)",Smartphones,179.0,488,223.0,Apple,7.85 out of 10,181,1.10.2020,black
"530 (Yellow, EU 44)",Shoes,140.0,270,619.0,New Balance,8.75 out of 10,506,7.15.2021,yellow
F-91W (Black),Watches,20.0,0,91.0,Casio,8.5 out of 10,74,12.25.2025,black
Pico (Green),Gaming Consoles,120.0,14,781.0,Sega,8.5 out of 10,617,9.18.2025,green
"Tab P11 Pro (1TB, Green)",Tablets,799.0,98,462.0,Lenovo,8.3 out of 10,373,8.12.2021,green
"ThinkPad T14 (64GB, Green)",Laptops,1800.0,84,0.0,Lenovo,8.75 out of 10,0,6.28.2020,green
North Avenue Desk (Gray),Furniture,150.0,152,998.0,Sauder,8.5 out of 10,816,3.16.2025,gray
"MacBook Air M2 (2022) (256GB, Gray)",Laptops,1099.0,0,835.0,Apple,9.2 out of 10,674,2.13.2025,gray
Poäng Armchair (Blue),Furniture,89.0,83,9.0,IKEA,8.25 out of 10,7,11.16.2024,blue
Apex 7 (White),Keyboards,159.99,out of stock,590.0,SteelSeries,9.2 out of 10,488,1.19.2020,white
Apex 350 (Gray),Keyboards,120.0,348,119.0,SteelSeries,8.5 out of 10,98,4.10.2020,gray
"Tab M8 (256GB, Purple)",Tablets,199.99,363,412.0,Lenovo,8.2 out of 10,334,8.4.2025,purple
Greyleigh Coffee Table (Yellow),Furniture,350.0,47,106.0,Wayfair,8.25 out of 10,95,12.24.2022,yellow
"MacBook Air M1 (2020) (64GB, Yellow)",Laptops,1099.0,14,703.0,Apple,9.45 out of 10,558,6.9.2020,yellow
Jenga (Yellow),Toys,14.99,351,93.0,Hasbro,8.5 out of 10,78,7.22.2024,yellow
"8-Series Q825 (43"", Purple frame)",TVs,450.0,258,191.0,TCL,8.25 out of 10,154,11.3.2025,purple
"55PUS7334 (65"", Orange frame)",TVs,750.0,313,159.0,Philips,8.2 out of 10,126,6.1.2022,orange
"Move Style Edition (Wireless, Orange)",Headphones,100.0,0,509.0,Jabra,8.5 out of 10,409,3.26.2020,orange
"Classic Leather (Yellow, EU 38)",Shoes,85.0,75,645.0,Reebok,8.75 out of 10,521,5.16.2020,yellow
K68 RGB (Blue),Keyboards,99.99,68,455.0,Corsair,8.75 out of 10,352,10.2.2025,blue
"7T (64GB, Brown)",Smartphones,399.0,0,210.0,OnePlus,8.75 out of 10,152,5.26.2023,brown
Watch Series 6 (Blue),Watches,399.0,21,478.0,Apple,8.75 out of 10,374,12.28.2022,blue
Prime Wireless (White),Mice,139.99,40,600.0,SteelSeries,8.75 out of 10,503,10.20.2024,white
"iPhone 7 (128GB, Blue)",Smartphones,200.0,98,593.0,Apple,8.23 out of 10,480,4.13.2024,blue
Apex 5 (Gray),Keyboards,99.99,87,162.0,SteelSeries,8.75 out of 10,131,10.27.2025,gray
"Galaxy S7 (256GB, Brown)",Smartphones,250.0,346,173.0,Samsung,7.5 out of 10,140,12.12.2020,brown
"Surface Pro 7 (256GB, Blue)",Tablets,899.0,210,430.0,Microsoft,8.75 out of 10,348,6.11.2025,blue
Naga Trinity (Yellow),Mice,99.99,378,94.0,Razer,8.5 out of 10,74,10.11.2023,yellow
"IdeaPad 5 (256GB, Brown)",Laptops,600.0,4,641.0,Lenovo,8.2 out of 10,520,7.4.2021,brown
Cynosa Chroma (Black),Keyboards,59.99,446,406.0,Razer,8.45 out of 10,319,9.24.2021,black
"WH-1000XM3 (Wired, Red)",Headphones,229.99,233,576.0,Sony,9.5 out of 10,444,4.5.2022,red
"Future Rider (White, EU 39)",Shoes,80.0,0,737.0,Puma,8.5 out of 10,607,11.19.2020,white
"Smash (Purple, EU 42)",Shoes,60.0,42,194.0,Puma,8.5 out of 10,153,6.11.2024,purple
"P30 Pro (128GB, Orange)",Smartphones,499.0,0,991.0,Huawei,8.5 out of 10,788,4.9.2020,orange
PlayStation Classic (White),Gaming Consoles,99.99,0,827.0,Sony,7.5 out of 10,660,11.18.2025,white
"Mi 11 (128GB, Gray)",Smartphones,499.0,27,918.0,Xiaomi,8.5 out of 10,733,1.24.2023,gray
K400 Plus (Orange),Keyboards,29.99,27,303.0,Logitech,8.5 out of 10,253,10.18.2020,orange
"Cotton Chino Pants (Green, XS)",Clothing,29.99,185,155.0,H&M,8.45 out of 10,111,9.21.2024,green
"Smash (Red, EU 46)",Shoes,70.0,0,819.0,Puma,8.5 out of 10,651,3.14.2022,red
Creator Expert Taj Mahal (10256) (Black),Toys,399.99,0,116.0,LEGO,9.2 out of 10,96,3.14.2021,black
"513 Slim Straight (Yellow, XS)",Clothing,69.5,458,468.0,Levi's,8.75 out of 10,382,6.11.2023,yellow
Monster High Doll (Red),Toys,24.99,157,850.0,Mattel,8.5 out of 10,684,8.5.2020,red
"5 (512GB, White)",Smartphones,699.0,0,756.0,OnePlus,8.75 out of 10,608,10.25.2022,white
Viper Mini (Black),Mice,39.99,0,928.0,Razer,8.7 out of 10,744,10.22.2025,black
"iPad Air (2020) (256GB, Red)",Tablets,749.0,21,553.0,Apple,8.75 out of 10,451,8.30.2025,red
Andover Mills Bookcase (Purple),Furniture,150.0,31,305.0,Wayfair,7.85 out of 10,236,7.24.2023,purple
PlayStation 4 (Blue),Gaming Consoles,299.0,0,622.0,Sony,8.75 out of 10,503,6.6.2022,blue
"Tab M8 (512GB, White)",Tablets,299.99,165,26.0,Lenovo,7.85 out of 10,21,7.28.2020,white
"Tech Shorts (Blue, S)",Clothing,35.0,257,485.0,Under Armour,8.75 out of 10,386,4.26.2024,blue
"8T (1TB, Gray)",Smartphones,599.0,396,335.0,OnePlus,8.75 out of 10,268,3.4.2021,gray
"OLED G1 (55"", Green frame)",TVs,1799.0,0,169.0,LG,9.2 out of 10,123,9.4.2025,green
,Toys,45.99,481,230.0,Fisher-Price,,,6.19.2024,purple
"Q950TS 8K QLED (50"", Black frame)",TVs,1999.0,out of stock,845.0,Samsung,9.2 out of 10,669,1.22.2020,black
Hot Wheels 20-Car Pack (Purple),Toys,21.99,,,,8.5 out of 10,,,purple
32X (Brown),Gaming Consoles,120.0,101,12.0,Sega,7.5 out of 10,11,2.8.2024,brown
"Galaxy Tab S7 (512GB, Brown)",Tablets,799.0,0,605.0,Samsung,8.5 out of 10,491,9.30.2023,brown
"Air Force 1 (Black, EU 46)",Shoes,120.0,444,570.0,Nike,8.75 out of 10,472,5.19.2021,black
"Classic Leather (Gray, EU 46)",Shoes,85.0,496,675.0,Reebok,8.5 out of 10,553,8.29.2024,gray
The Grind Control (Red),Kitchen,299.95,60,716.0,Breville,8.75 out of 10,572,9.1.2020,red
"Alphaskin Tights (Black, L)",Clothing,45.0,328,829.0,Adidas,no value,,8.13.2021,black
Ektorp Sofa (White),Furniture,399.0,0,168.0,IKEA,8.5 out of 10,128,12.24.2024,white
K70 RGB MK.2 (Orange),Keyboards,160.0,209,609.0,Corsair,8.75 out of 10,501,6.18.2024,orange
"AirPods (3rd generation) (Wired, Brown)",Headphones,179.0,0,39.0,Apple,8.75 out of 10,31,10.7.2024,red
"Linen Blend Shirt (Green, XS)",Clothing,29.99,0,602.0,H&M,8.2 out of 10,481,7.22.2021,green
Air Hogs Super Soft (Gray),Toys,29.99,437,539.0,Spin Master,8.25 out of 10,420,6.13.2022,gray
Xbox Series S (Blue),Gaming Consoles,299.99,162,917.0,Microsoft,,,6.9.2024,blue
"TUF Gaming A15 (128GB, Blue)",Laptops,899.0,0,358.0,Asus,8.5 out of 10,290,6.6.2025,blue
Xbox Series X (Red),Gaming Consoles,499.0,0,339.0,Microsoft,9.2 out of 10,271,12.26.2024,red
Magic Mouse 2 (Orange),Mice,79.0,0,115.0,Apple,8.5 out of 10,90,2.28.2025,orange
"50S535 (65"", Gray frame)",TVs,599.0,195,247.0,TCL,8.75 out of 10,194,2.24.2020,gray
K65 RGB Mini (Green),Keyboards,109.99,428,509.0,Corsair,8.5 out of 10,411,12.3.2023,green
"Tab P12 Pro (1TB, White)",Tablets,899.0,21,349.0,Lenovo,8.5 out of 10,264,8.9.2022,white
"QLED Q80A (75"", Purple frame)",TVs,1999.0,180,342.0,Samsung,8.7 out of 10,275,7.9.2022,purple
Apex Raw (Blue),Keyboards,79.99,98,640.0,SteelSeries,8.75 out of 10,507,4.17.2023,blue
"NMD R1 (Yellow, EU 38)",Shoes,140.0,0,869.0,Adidas,8.75 out of 10,697,1.16.2025,yellow
G Pro Mechanical (Gray),Keyboards,129.99,4,779.0,Logitech,8.75 out of 10,624,5.20.2020,gray
"Poco F3 (512GB, Gray)",Smartphones,399.0,0,642.0,Xiaomi,,522,4.8.2025,gray
Harry Potter Hogwarts Castle (71043) (Orange),Toys,469.99,0,406.0,LEGO,9.6 out of 10,331,8.11.2022,orange
"Galaxy Tab S7 FE (256GB, Black)",Tablets,529.99,0,50.0,Samsung,8.6 out of 10,39,7.23.2025,black
Strandmon Wing Chair (Gray),Furniture,279.0,0,9.0,IKEA,8.6 out of 10,7,8.6.2025,gray
"AirPods (2nd generation) (Wired, Green)",Headphones,129.0,0,538.0,Apple,8.7 out of 10,435,8.11.2024,red
Porter Panel Bed (Gray),Furniture,450.0,21,768.0,Ashley Furniture,8.5 out of 10,614,8.15.2025,gray
"ZenBook 14 UX425 (128GB, Gray)",Laptops,799.0,67,437.0,Asus,8.5 out of 10,355,10.9.2020,gray
"Alphaskin Tights (Yellow, XS)",Clothing,40.0,97,895.0,Adidas,8.5 out of 10,706,9.12.2021,yellow
"XPS 15 (9500) (64GB, Blue)",Laptops,2500.0,181,668.0,Dell,8.75 out of 10,529,6.24.2023,blue
"WH-XB900N (Wired, Black)",Headphones,149.99,166,975.0,Sony,8.75 out of 10,772,8.2.2020,red
Mistana Armchair (Red),Furniture,300.0,0,377.0,Wayfair,8.5 out of 10,295,11.22.2020,red
"Launch SW 7"" Shorts (Green, XXL)",Clothing,35.0,412,473.0,Under Armour,8.75 out of 10,372,9.16.2022,green
K380 (Brown),Keyboards,39.99,402,373.0,Logitech,8.75 out of 10,297,3.12.2021,brown
"Momentum 2.0 (Wired, Yellow)",Headphones,230.0,373,180.0,Sennheiser,,147,8.17.2022,red
"7 Pro (1TB, Green)",Smartphones,749.0,470,459.0,OnePlus,8.5 out of 10,370,5.31.2020,green
Bjursta Extendable Table (Red),Furniture,249.0,492,160.0,IKEA,8.5 out of 10,127,8.23.2020,red
"Redmi Note 11 (128GB, Purple)",Smartphones,220.0,311,659.0,Xiaomi,8.5 out of 10,522,9.1.2023,red
VCS (2021) (White),Gaming Consoles,299.99,79,3.0,Atari,7.5 out of 10,1,6.9.2025,white
"Evolve2 65 (Wireless, Yellow)",Headphones,249.99,0,825.0,Jabra,8.75 out of 10,633,4.16.2020,yellow
Pax Wardrobe (White),Furniture,500.0,150,25.0,IKEA,8.5 out of 10,18,3.25.2020,white
"Pro HyperWarm Top (Purple, M)",Clothing,60.0,0,932.0,Nike,8.75 out of 10,751,1.5.2021,purple
G512 Carbon (Orange),Keyboards,99.99,148,14.0,Logitech,8.75 out of 10,10,12.21.2025,orange
Genesis Mini (Purple),Gaming Consoles,79.99,219,596.0,Sega,8.75 out of 10,493,1.9.2023,purple
"iPad Air (2020) (256GB, White)",Tablets,749.0,out of stock,56.0,Apple,9.2 out of 10,45,2.22.2020,white
"MatePad T10 (64GB, Blue)",Tablets,150.0,162,275.0,Huawei,7.5 out of 10,223,7.29.2022,blue
Willenburg Upholstered Bed (Blue),Furniture,450.0,410,809.0,Ashley Furniture,8.75 out of 10,651,3.21.2021,red
"EliteBook 840 G6 (1TB, Orange)",Laptops,1200.0,447,110.0,HP,,91,8.19.2023,orange
City Police Station (60141) (Red),Toys,99.99,59,195.0,LEGO,8.75 out of 10,159,4.20.2024,red
Apex Pro (Red),Keyboards,199.99,0,969.0,SteelSeries,,764,5.9.2021,red
Wireless Mouse 900 (White),Mice,29.99,197,319.0,Microsoft,8.5 out of 10,247,5.16.2025,white
"Ultraboost 21 (Brown, EU 38)",Shoes,180.0,259,750.0,Adidas,8.75 out of 10,583,7.8.2024,brown
Magic Trackpad (2021) (White),Mice,129.0,0,651.0,Apple,8.75 out of 10,524,8.13.2022,white
"SoundLink Around-Ear II (Wireless, Purple)",Headphones,229.0,465,239.0,Bose,8.75 out of 10,195,7.12.2021,purple
Edge Water Computer Desk (Blue),Furniture,180.0,366,974.0,Sauder,8.5 out of 10,748,1.4.2024,blue
Smart WiFi (Gray),Kitchen,49.99,291,369.0,Instant Pot,8.75 out of 10,291,6.11.2020,gray
Monster High Doll (Purple),Toys,24.99,398,66.0,Mattel,8.75 out of 10,55,10.11.2022,purple
PlayStation Classic (Green),Gaming Consoles,100.0,0,331.0,Sony,7.5 out of 10,270,9.15.2024,green
"Noise Cancelling Headphones 700 (Wireless, Yellow)",Headphones,379.0,271,80.0,Bose,8.75 out of 10,62,8.24.2022,yellow
Arc Mouse (Purple),Mice,79.99,0,514.0,Microsoft,8.45 out of 10,412,9.3.2024,purple
Designer Compact Keyboard (Green),Keyboards,129.99,0,79.0,Microsoft,8.75 out of 10,64,7.31.2020,green
Apex Pro (Green),Keyboards,199.99,385,347.0,SteelSeries,9 out of 10,281,8.3.2022,green
"iPad mini (2021) (64GB, Blue)",Tablets,499.0,266,185.0,Apple,8.75 out of 10,151,2.2.2022,blue
"Ribcage Straight Ankle (Green, XS)",Clothing,98.0,132,615.0,Levi's,8.75 out of 10,488,8.5.2025,green
Sense (Black),Watches,299.95,60,874.0,Fitbit,8.75 out of 10,709,9.3.2020,black
"EliteBook 840 G6 (64GB, Gray)",Laptops,1200.0,361,281.0,HP,8.5 out of 10,220,8.16.2025,gray
Wired Keyboard 600 (Blue),Keyboards,25.0,0,261.0,Microsoft,8.5 out of 10,197,1.5.2025,red
"MacBook Pro 14 (2023) (128GB, Orange)",Laptops,1999.0,399,5.0,Apple,9.3 out of 10,4,5.22.2025,orange
"WH-CH710N (Wired, Brown)",Headphones,99.99,159,247.0,Sony,8.35 out of 10,203,5.2.2021,red
Foodi Multi-Cooker (Purple),Kitchen,249.99,84,819.0,Ninja,8.7 out of 10,660,5.1.2022,purple
Apex 7 (Green),Keyboards,130.0,0,231.0,SteelSeries,9.2 out of 10,179,3.8.2022,green
"Zig Kinetica (Blue, EU 44)",Shoes,120.0,463,900.0,Reebok,8.35 out of 10,707,1.21.2024,blue
"IdeaPad 5 (1TB, White)",Laptops,850.0,0,213.0,Lenovo,8.25 out of 10,162,8.13.2021,white
"Mate 40 (1TB, Black)",Smartphones,1299.0,75,872.0,Huawei,8.5 out of 10,700,7.31.2020,black
"SoundTrue Ultra (Wireless, Black)",Headphones,149.0,0,263.0,Bose,,211,2.24.2023,black
"990v5 (Green, EU 39)",Shoes,185.0,325,659.0,New Balance,8.75 out of 10,549,6.10.2021,green
"MacBook Air (2017) (512GB, White)",Laptops,750.0,171,573.0,Apple,8.5 out of 10,455,7.29.2025,white
Baby Learning Table (Blue),Toys,39.99,49,363.0,Fisher-Price,8.75 out of 10,285,1.11.2024,blue
G213 Prodigy (Gray),Keyboards,49.99,105,157.0,Logitech,8.75 out of 10,118,8.22.2022,gray
Battleship (Blue),Toys,24.99,0,758.0,Hasbro,8.75 out of 10,624,10.17.2024,blue
"AirPods Max (Wireless, Red)",Headphones,549.0,17,707.0,Apple,8.7 out of 10,569,6.28.2024,red
Genesis (Black),Gaming Consoles,50.0,0,442.0,Sega,,365,7.9.2021,black
"IdeaPad Duet 3 (1TB, Orange)",Tablets,499.99,423,525.0,Lenovo,8.2 out of 10,409,2.11.2022,orange
"ZenBook Duo 14 (64GB, Gray)",Laptops,1800.0,313,125.0,Asus,8.75 out of 10,100,12.7.2024,gray
Ornata Chroma (Black),Keyboards,99.99,0,30.0,Razer,8.75 out of 10,25,12.4.2020,black
Max (Gray),Kitchen,119.95,446,839.0,Instant Pot,,657,12.13.2021,gray
"Surface Pro 8 (1TB, Brown)",Tablets,1699.0,208,206.0,Microsoft,8.85 out of 10,164,4.22.2020,brown
"CrossFit Nano 9 (Yellow, EU 46)",Shoes,130.0,0,514.0,Reebok,8.75 out of 10,402,2.6.2021,yellow
Etch A Sketch (Gray),Toys,15.99,200,460.0,Spin Master,8.5 out of 10,371,10.30.2022,gray
"Adizero Adios Pro (Blue, EU 40)",Shoes,250.0,152,78.0,Adidas,8.75 out of 10,53,4.2.2022,blue
Xbox 360 Elite (Green),Gaming Consoles,250.0,32,620.0,Microsoft,7.5 out of 10,494,10.6.2023,green
"Beats Flex (Wireless, Black)",Headphones,69.99,336,16.0,Apple,8.5 out of 10,14,12.1.2023,black
"P40 Pro (1TB, Brown)",Smartphones,1199.0,307,448.0,Huawei,8.4 out of 10,356,8.25.2023,brown
"MatePad T8 (512GB, Red)",Tablets,150.0,235,398.0,Huawei,7.5 out of 10,319,6.7.2022,red
Palladia Armoire (Yellow),Furniture,399.99,297,57.0,Sauder,8.45 out of 10,47,9.24.2023,yellow
"Samba (Gray, EU 46)",Shoes,100.0,172,213.0,Adidas,9.2 out of 10,179,10.22.2025,gray
K70 RGB MK.2 (Purple),Keyboards,159.99,0,314.0,Corsair,9.25 out of 10,265,12.5.2023,purple
"Storm Cyclone Jacket (Black, XL)",Clothing,150.0,0,637.0,Under Armour,8.75 out of 10,531,11.27.2022,black
DeathAdder V2 (Purple),Mice,69.99,0,88.0,Razer,8.75 out of 10,69,3.24.2025,purple
PlayStation 3 (Green),Gaming Consoles,100.0,0,452.0,Sony,7.5 out of 10,367,10.12.2024,green
Wireless Mobile Mouse 4000 (Brown),Mice,29.99,0,248.0,Microsoft,8.2 out of 10,191,11.2.2024,brown
"SB Icon Hoodie (Blue, L)",Clothing,65.0,305,212.0,Nike,8.75 out of 10,179,10.8.2022,blue
Battleship (Purple),Toys,24.99,0,232.0,Hasbro,8.5 out of 10,183,5.25.2025,purple
Hot and Cold Brewed System (Green),Kitchen,159.99,231,612.0,Ninja,9.2 out of 10,494,11.29.2024,green
All-in-One Media Keyboard (Brown),Keyboards,39.99,0,452.0,Microsoft,,372,5.24.2023,brown
M330 Silent Plus (Green),Mice,25.99,179,419.0,Logitech,,338,6.17.2020,green
Luxe (Gray),Watches,129.95,0,149.0,Fitbit,8.5 out of 10,121,10.6.2021,gray
2-Slice Toaster (Gray),Kitchen,49.99,0,782.0,KitchenAid,8.5 out of 10,628,1.31.2024,gray
"OLED CX (55"", Gray frame)",TVs,1399.0,0,586.0,LG,9.2 out of 10,464,2.14.2020,gray
"Surface Go (256GB, Red)",Tablets,549.99,0,508.0,Microsoft,8.5 out of 10,412,5.14.2023,red
MX Master 2S (Purple),Mice,75.0,87,430.0,Logitech,8.75 out of 10,338,8.30.2025,purple
Surface Mobile Mouse (Orange),Mice,34.99,349,486.0,Microsoft,8.5 out of 10,396,8.20.2020,orange
"Surface Go 2 (1TB, Orange)",Tablets,799.99,465,862.0,Microsoft,8.5 out of 10,669,3.12.2023,orange
"511 Slim Jeans (Purple, M)",Clothing,69.5,0,943.0,Levi's,8.75 out of 10,746,8.6.2022,purple
"Smash (Purple, EU 39)",Shoes,60.0,369,261.0,Puma,8.2 out of 10,217,12.26.2020,purple
Aerox 5 Wireless (Yellow),Mice,129.99,141,928.0,SteelSeries,8.75 out of 10,732,4.15.2022,yellow
"SoundTrue Ultra (Wired, Blue)",Headphones,129.95,60,362.0,Bose,8.75 out of 10,295,1.31.2025,red
"MatePad T8 (256GB, Green)",Tablets,169.0,99,325.0,Huawei,7.5 out of 10,271,11.21.2022,green
Galaxy Fit (Black),Watches,99.99,270,798.0,Samsung,8.5 out of 10,644,11.21.2024,black
Charge 4 (Black),Watches,129.95,58,357.0,Fitbit,8.4 out of 10,275,6.4.2022,black
"iPad Pro 11 (2020) (64GB, Black)",Tablets,799.0,0,213.0,Apple,9.5 out of 10,171,8.24.2023,black
Malm Bed Frame (Purple),Furniture,249.0,0,11.0,IKEA,8.25 out of 10,8,2.9.2025,purple
Connect 4 (Purple),Toys,9.99,0,316.0,Hasbro,8.5 out of 10,251,1.21.2024,purple
"RC Elite (Blue, EU 38)",Shoes,225.0,258,407.0,New Balance,8.75 out of 10,320,12.29.2024,blue
Magic Mouse 2 (Brown),Mice,79.0,344,309.0,Apple,8.5 out of 10,246,9.21.2023,brown
"55R635 (43"", Black frame)",TVs,350.0,0,157.0,TCL,8.75 out of 10,127,10.21.2024,black
Food Processor KFP1466 (Purple),Kitchen,299.99,0,915.0,KitchenAid,8.75 out of 10,748,4.10.2025,purple
Surface Mobile Mouse (Blue),Mice,34.99,0,921.0,Microsoft,8.2 out of 10,726,2.10.2020,blue
